epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8958,4.46213,9.68775,1.9274,0,0,0,0,3.2059,4.27329,1.2933,0.0671881,1.64141e-05,1.64141e-05
2,51.9317,3.91339,4.38333,1.4085,0,0,0,0,3.15919,3.83151,1.26174,0.0338704,3.19891e-05,3.19891e-05
3,22.1004,3.90706,4.28742,1.40885,0,0,0,0,3.23354,3.74496,1.26727,0.000551515,4.64641e-05,4.64641e-05
4,29.1811,3.80537,4.22162,1.38786,0.00181,0.08592,0.00121,0.00032,3.42025,3.66389,1.30731,4.505e-05,4.505e-05,4.505e-05
5,36.7386,3.83604,4.18508,1.37066,0.00296,0.1972,0.00211,0.00049,3.44915,3.64815,1.31162,4.34e-05,4.34e-05,4.34e-05
6,44.1629,3.73538,4.16434,1.35764,0.00267,0.28778,0.00322,0.00066,3.61855,3.59227,1.34194,4.175e-05,4.175e-05,4.175e-05
7,53.8677,3.71593,4.08867,1.35492,0.00292,0.3499,0.00462,0.00097,3.60009,3.52418,1.34069,4.01e-05,4.01e-05,4.01e-05
8,61.8564,3.66542,4.00377,1.36127,0.00323,0.38665,0.00625,0.00118,3.62185,3.46909,1.34365,3.845e-05,3.845e-05,3.845e-05
9,106.464,3.58857,3.89441,1.32497,0.00379,0.44979,0.00799,0.00167,3.55133,3.38267,1.3357,3.68e-05,3.68e-05,3.68e-05
10,77.1137,3.52517,3.79221,1.32716,0.00329,0.42184,0.00791,0.00168,3.68149,3.31821,1.35968,3.515e-05,3.515e-05,3.515e-05
11,84.926,3.46079,3.66288,1.32916,0.00432,0.50414,0.01447,0.00354,3.45164,3.18783,1.32575,3.35e-05,3.35e-05,3.35e-05
12,93.4579,3.44275,3.51197,1.32716,0.06345,0.05849,0.02452,0.00618,3.32428,3.02782,1.31242,3.185e-05,3.185e-05,3.185e-05
13,101.596,3.38385,3.40278,1.31669,0.0799,0.11025,0.03368,0.00922,3.16603,2.88597,1.29347,3.02e-05,3.02e-05,3.02e-05
14,110.391,3.33417,3.32731,1.2941,0.10886,0.14545,0.04362,0.01153,3.27469,2.8084,1.31186,2.855e-05,2.855e-05,2.855e-05
15,118.818,3.29034,3.21683,1.27617,0.12399,0.16201,0.06003,0.01762,3.10103,2.70533,1.28539,2.69e-05,2.69e-05,2.69e-05
16,126.505,3.23299,3.11508,1.27822,0.13141,0.18219,0.0795,0.02314,2.97267,2.55882,1.26374,2.525e-05,2.525e-05,2.525e-05
17,171.595,3.21173,3.06712,1.27355,0.18742,0.18849,0.09407,0.02808,2.94334,2.50772,1.25441,2.36e-05,2.36e-05,2.36e-05
18,179.82,3.15233,3.00127,1.25793,0.18891,0.20911,0.12098,0.03575,2.91904,2.42454,1.24257,2.195e-05,2.195e-05,2.195e-05
19,150.723,3.13632,2.95303,1.24671,0.19863,0.21687,0.13384,0.04259,2.8691,2.36675,1.23425,2.03e-05,2.03e-05,2.03e-05
20,158.503,3.0629,2.88969,1.24513,0.2265,0.24009,0.1594,0.04618,2.81628,2.3121,1.22424,1.865e-05,1.865e-05,1.865e-05
21,167.067,3.01429,3.15147,1.29902,0.30254,0.3009,0.19685,0.06466,2.75786,2.48152,1.20473,1.7e-05,1.7e-05,1.7e-05
22,174.826,2.92827,3.01201,1.28794,0.27988,0.30336,0.19746,0.06761,2.68659,2.30976,1.191,1.535e-05,1.535e-05,1.535e-05
23,183.048,2.90221,2.92732,1.27891,0.28314,0.30487,0.20474,0.06898,2.66214,2.25551,1.18575,1.37e-05,1.37e-05,1.37e-05
24,190.748,2.9215,2.92098,1.25931,0.2749,0.32143,0.21249,0.07148,2.64403,2.19699,1.17912,1.205e-05,1.205e-05,1.205e-05
25,197.782,2.88666,2.87705,1.25829,0.27854,0.32712,0.22091,0.07489,2.63135,2.17543,1.17597,1.04e-05,1.04e-05,1.04e-05
26,204.869,2.8773,2.82683,1.25501,0.30358,0.32573,0.22765,0.078,2.62311,2.166,1.17455,8.75e-06,8.75e-06,8.75e-06
27,212.262,2.83752,2.79482,1.26702,0.30812,0.35093,0.23814,0.07982,2.61674,2.14584,1.17117,7.1e-06,7.1e-06,7.1e-06
28,219.456,2.86036,2.79561,1.24327,0.31776,0.36077,0.24484,0.08256,2.60812,2.13808,1.16824,5.45e-06,5.45e-06,5.45e-06
29,226.556,2.82926,2.78331,1.253,0.30725,0.37371,0.24872,0.08337,2.60433,2.11844,1.16787,3.8e-06,3.8e-06,3.8e-06
30,234.015,2.82592,2.75429,1.26138,0.30607,0.37733,0.24816,0.08359,2.60541,2.11064,1.16683,2.15e-06,2.15e-06,2.15e-06
