epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89225,4.44093,9.63643,1.91029,0,0,0,0,3.18248,4.26971,1.26887,0.0675,0.000328283,0.000328283
2,14.978,3.64703,3.6945,1.37559,0.15519,0.07091,0.0892,0.025,3.42106,3.72641,1.43615,0.0344782,0.000639783,0.000639783
3,21.8969,3.10864,2.76459,1.24705,0.22105,0.14752,0.10353,0.0296,3.07298,2.86094,1.24599,0.00143433,0.000929283,0.000929283
4,29.2696,2.83152,2.39055,1.186,0.34417,0.40166,0.30864,0.10682,2.54254,1.97574,1.13331,0.000901,0.000901,0.000901
5,36.8481,2.70764,2.17782,1.13439,0.37083,0.49379,0.36332,0.11764,2.54006,1.98552,1.12174,0.000868,0.000868,0.000868
6,44.137,2.58543,2.03982,1.12298,0.46785,0.49431,0.44836,0.16035,2.35446,1.7496,1.07677,0.000835,0.000835,0.000835
7,54.5765,2.52624,1.95797,1.09768,0.38923,0.54503,0.44202,0.16703,2.22779,1.84447,1.05365,0.000802,0.000802,0.000802
8,62.8144,2.43883,1.87923,1.08825,0.43194,0.54205,0.46035,0.16062,2.30884,1.77232,1.0679,0.000769,0.000769,0.000769
9,70.9822,2.40807,1.83431,1.0561,0.38825,0.53648,0.38295,0.12558,2.5593,1.62749,1.07909,0.000736,0.000736,0.000736
10,78.4951,2.3558,1.74106,1.05828,0.51222,0.5705,0.50719,0.17269,2.27942,1.60181,1.05382,0.000703,0.000703,0.000703
11,86.0129,2.37666,1.72748,1.06347,0.63559,0.54106,0.55769,0.19498,2.40914,1.45571,1.06401,0.00067,0.00067,0.00067
12,130.781,2.29032,1.64273,1.04674,0.65826,0.57339,0.62375,0.25839,2.16749,1.36058,1.01959,0.000637,0.000637,0.000637
13,100.974,2.24898,1.59682,1.0353,0.68002,0.61143,0.6573,0.27811,2.04177,1.33704,1.00203,0.000604,0.000604,0.000604
14,108.321,2.2707,1.55944,1.029,0.74769,0.66408,0.7276,0.30708,2.02913,1.26625,0.99452,0.000571,0.000571,0.000571
15,115.268,2.20383,1.50756,1.01734,0.68716,0.6282,0.69083,0.29571,2.0189,1.28866,0.99404,0.000538,0.000538,0.000538
16,122.537,2.20272,1.49201,1.01146,0.76109,0.69052,0.69945,0.30227,2.05342,1.21469,0.98922,0.000505,0.000505,0.000505
17,130.453,2.19488,1.43438,1.01991,0.8259,0.64062,0.73987,0.30196,1.98633,1.17134,0.98469,0.000472,0.000472,0.000472
18,137.741,2.16896,1.43048,1.01097,0.79222,0.64286,0.74615,0.33006,1.96795,1.14501,0.97393,0.000439,0.000439,0.000439
19,146.109,2.15658,1.41233,1.00682,0.75061,0.6875,0.72713,0.3212,1.95421,1.14163,0.98042,0.000406,0.000406,0.000406
20,154.19,2.13665,1.37238,1.00917,0.75808,0.68958,0.73151,0.32111,1.94867,1.12223,0.97033,0.000373,0.000373,0.000373
21,163.302,2.12938,1.41747,1.04309,0.77923,0.67081,0.74876,0.30876,2.01621,1.15974,0.98294,0.00034,0.00034,0.00034
22,170.394,2.06469,1.34291,1.03119,0.82417,0.67286,0.7528,0.32496,2.01475,1.10498,0.97338,0.000307,0.000307,0.000307
23,177.483,2.05431,1.28652,1.02974,0.85688,0.70646,0.76765,0.33823,1.9592,1.08517,0.97211,0.000274,0.000274,0.000274
24,184.546,2.03675,1.27635,1.00698,0.81489,0.70383,0.76549,0.32635,2.05102,1.09507,0.97828,0.000241,0.000241,0.000241
25,192.732,2.05261,1.25834,1.01588,0.83084,0.70934,0.78213,0.34948,1.9538,1.05243,0.96347,0.000208,0.000208,0.000208
26,200.236,2.00012,1.21683,1.0032,0.83704,0.71221,0.77784,0.33706,2.01842,1.06581,0.97346,0.000175,0.000175,0.000175
27,207.725,1.9954,1.20563,1.01124,0.85449,0.71222,0.78931,0.35182,1.93779,1.02694,0.96308,0.000142,0.000142,0.000142
28,214.655,2.00165,1.20022,0.99828,0.85553,0.72509,0.79954,0.3558,1.93247,1.02494,0.9603,0.000109,0.000109,0.000109
29,222.632,2.00021,1.19885,1.00437,0.82069,0.73085,0.7836,0.34985,1.93617,1.03472,0.95667,7.6e-05,7.6e-05,7.6e-05
30,229.854,1.98277,1.19371,1.00596,0.85365,0.71192,0.78525,0.35551,1.95835,1.02577,0.96059,4.3e-05,4.3e-05,4.3e-05
