epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.44986,4.46762,9.67812,1.92913,0,0,0,0,3.22975,4.27935,1.29761,0.0672045,3.28283e-05,3.28283e-05
2,14.81,3.90795,4.37595,1.41003,0,0,0,0,3.22262,3.98685,1.26634,0.0339024,6.39783e-05,6.39783e-05
3,22.2401,3.86477,4.2568,1.39395,0.0004,0.04296,0.00021,7e-05,3.21396,3.74219,1.26614,0.000597979,9.29283e-05,9.29283e-05
4,29.6818,3.75163,4.12852,1.37271,0.00285,0.36439,0.00405,0.00088,3.31899,3.56156,1.29781,9.01e-05,9.01e-05,9.01e-05
5,37.3462,3.78443,3.99435,1.3651,0.00259,0.33851,0.0052,0.00098,3.53443,3.56018,1.35018,8.68e-05,8.68e-05,8.68e-05
6,45.123,3.6183,3.85781,1.34982,0.00339,0.44824,0.00925,0.00212,3.48711,3.44447,1.35121,8.35e-05,8.35e-05,8.35e-05
7,54.4245,3.53068,3.64501,1.3459,0.00366,0.48292,0.01074,0.00239,3.62107,3.33017,1.37777,8.02e-05,8.02e-05,8.02e-05
8,62.3053,3.38795,3.45817,1.32574,0.0504,0.03416,0.02832,0.00709,3.40422,3.02331,1.34364,7.69e-05,7.69e-05,7.69e-05
9,70.0946,3.30017,3.26115,1.28217,0.11055,0.1558,0.05845,0.01528,3.22689,2.77408,1.30838,7.36e-05,7.36e-05,7.36e-05
10,77.8622,3.17981,3.05321,1.26323,0.16742,0.23344,0.10348,0.0285,3.02697,2.44894,1.26399,7.03e-05,7.03e-05,7.03e-05
11,85.861,3.09746,2.88431,1.24719,0.23874,0.294,0.1971,0.05908,2.7385,2.20061,1.19688,6.7e-05,6.7e-05,6.7e-05
12,93.2178,3.06508,2.72143,1.23979,0.25804,0.28157,0.21579,0.06147,2.88164,2.16951,1.22482,6.37e-05,6.37e-05,6.37e-05
13,101.114,2.98033,2.61496,1.2188,0.30101,0.34627,0.26781,0.09692,2.63506,2.0263,1.16847,6.04e-05,6.04e-05,6.04e-05
14,145.814,2.92613,2.54074,1.20005,0.33084,0.3499,0.26851,0.09322,2.6943,1.9997,1.18268,5.71e-05,5.71e-05,5.71e-05
15,153.833,2.89403,2.46507,1.18122,0.32148,0.42598,0.30248,0.11836,2.53857,1.90325,1.14543,5.38e-05,5.38e-05,5.38e-05
16,124.314,2.84719,2.40142,1.17631,0.37465,0.44048,0.34128,0.12306,2.52538,1.84582,1.1379,5.05e-05,5.05e-05,5.05e-05
17,131.577,2.80606,2.33974,1.1771,0.37091,0.45445,0.34133,0.13239,2.47469,1.82113,1.13127,4.72e-05,4.72e-05,4.72e-05
18,139.384,2.77596,2.33061,1.17192,0.3398,0.46946,0.33601,0.11459,2.58508,1.83493,1.15108,4.39e-05,4.39e-05,4.39e-05
19,146.712,2.75938,2.28477,1.16495,0.37539,0.45897,0.35237,0.12953,2.46836,1.8113,1.12565,4.06e-05,4.06e-05,4.06e-05
20,154.232,2.71338,2.26493,1.16132,0.36266,0.48357,0.35315,0.13219,2.46205,1.79277,1.12013,3.73e-05,3.73e-05,3.73e-05
21,162.67,2.68129,2.50342,1.21006,0.28223,0.36284,0.24894,0.06589,3.0281,1.97088,1.26567,3.4e-05,3.4e-05,3.4e-05
22,170.416,2.634,2.34281,1.2064,0.38239,0.4355,0.3632,0.13758,2.42848,1.81062,1.1168,3.07e-05,3.07e-05,3.07e-05
23,177.488,2.57846,2.28307,1.19264,0.34292,0.43944,0.35558,0.12479,2.48652,1.79914,1.12511,2.74e-05,2.74e-05,2.74e-05
24,184.788,2.60464,2.28169,1.17371,0.34363,0.46687,0.35106,0.10667,2.62653,1.81784,1.15502,2.41e-05,2.41e-05,2.41e-05
25,191.819,2.55186,2.25102,1.1781,0.34279,0.48602,0.34649,0.10494,2.64225,1.79984,1.15663,2.08e-05,2.08e-05,2.08e-05
26,198.876,2.53698,2.22671,1.16194,0.34148,0.49017,0.35956,0.11464,2.54902,1.77334,1.13265,1.75e-05,1.75e-05,1.75e-05
27,206.187,2.5204,2.20566,1.17802,0.3539,0.48112,0.36674,0.11844,2.53363,1.76722,1.12695,1.42e-05,1.42e-05,1.42e-05
28,213.752,2.5155,2.20612,1.15692,0.35941,0.53416,0.36771,0.11859,2.53247,1.76546,1.12631,1.09e-05,1.09e-05,1.09e-05
29,221.097,2.5115,2.17191,1.16692,0.36325,0.53727,0.37273,0.12633,2.49625,1.757,1.11667,7.6e-06,7.6e-06,7.6e-06
30,228.205,2.49697,2.16311,1.17941,0.36085,0.53054,0.37662,0.12266,2.50911,1.7529,1.11867,4.3e-06,4.3e-06,4.3e-06
